epoch,train_loss,val_loss,train_accuracy,val_accuracy,train_precision,val_precision,train_recall,val_recall,train_f1,val_f1,train_lr
1,1.5357960939824686,1.1903009157180786,0.43160790197549387,0.554,0.3887887914251869,0.4883841938490215,0.43160790197549387,0.554,0.3676481224272725,0.4706054189259801,0.006702127659574468
2,1.0564591864044293,0.8935021486282348,0.6049012253063266,0.664,0.5669587355991965,0.6183102992365006,0.6049012253063266,0.664,0.5740705086616259,0.6308238725271359,0.009965152191539602
3,0.8543408986895524,0.7882679381370544,0.6741685421355339,0.676,0.6581926363128046,0.6757587926044066,0.6741685421355339,0.676,0.6551842156621519,0.6467104077716385,0.009695650963138078
4,0.7289983899958821,0.7151218967437745,0.7241810452613153,0.716,0.7112916787717695,0.7057547450392389,0.7241810452613153,0.716,0.7132719719622875,0.7022109330109975,0.009173302013065167
5,0.6968413904387524,0.702095911026001,0.7296824206051513,0.712,0.720694669254113,0.7248794850964424,0.7296824206051513,0.712,0.7212270504886252,0.6819388145047522,0.008426232376950265
6,0.6792292132858158,0.7021272644996643,0.7391847961990498,0.736,0.7329769394698158,0.7450913394754384,0.7391847961990498,0.736,0.7315679227333871,0.7306216314560866,0.007494669673265098
7,0.6236916584696106,0.6603266620635986,0.7611902975743936,0.744,0.7558058449395563,0.7321992580819439,0.7611902975743936,0.744,0.7549851804638562,0.7337021910672374,0.0064287759581483995
8,0.606777535032767,0.6448760094642639,0.7716929232308077,0.746,0.7654941750375795,0.741397938648825,0.7716929232308077,0.746,0.7649781273121707,0.7317563284776809,0.005285946638440844
9,0.5887391614329669,0.6339427328109741,0.7769442360590147,0.762,0.772419757445278,0.7486255059169538,0.7769442360590147,0.762,0.771005039562265,0.7529369709222922,0.00412771988893773
10,0.5928100606044193,0.6314881892204285,0.7786946736684172,0.754,0.774881058604092,0.7463648943391102,0.7786946736684172,0.754,0.7736153308234288,0.7487480793452831,0.0030164629931296117
11,0.5510317498622879,0.6239532089233398,0.7961990497624406,0.75,0.7945330871681878,0.7568709130472,0.7961990497624406,0.75,0.7918386373313413,0.7405257757916293,0.002012014038749679
12,0.5417215483401471,0.6308434705734253,0.795198799699925,0.758,0.7928633867128635,0.7410776905001715,0.795198799699925,0.758,0.7911533555350998,0.7473824872543456,0.0011684598034660165
13,0.5297177413696943,0.6149405269622803,0.811202800700175,0.768,0.8099686476165332,0.7717574399403141,0.811202800700175,0.768,0.8066617352508356,0.7607524318080369,0.0005312233325969623
14,0.5208580740379315,0.6166843738555908,0.8102025506376594,0.76,0.8085911009464082,0.7452792807390151,0.8102025506376594,0.76,0.8063172297567481,0.7511776414549171,0.0001346180346752224
15,0.5222774083002056,0.612226134300232,0.8107026756689172,0.764,0.8094021254670988,0.7676729587096311,0.8107026756689172,0.764,0.807644711434364,0.7576134485233397,0.0
